,day - close
0,2022-04-25:10.467
1,2022-04-26:10.546
2,2022-04-27:10.624
3,2022-04-28:10.624
4,2022-04-29:10.585
5,2022-04-30:10.752
6,2022-05-01:10.644
7,2022-05-02:10.546
8,2022-05-03:10.556
9,2022-05-04:10.556
10,2022-05-05:10.487
11,2022-05-06:10.183
12,2022-05-07:9.898
13,2022-05-08:9.673
14,2022-05-09:9.702
15,2022-05-10:9.702
16,2022-05-11:9.624
17,2022-05-12:9.594
18,2022-05-13:9.741
19,2022-05-14:9.732
20,2022-05-15:9.732
21,2022-05-16:9.732
22,2022-05-17:9.732
23,2022-05-18:9.634
24,2022-05-19:9.133
25,2022-05-20:9.29
26,2022-05-21:9.349
27,2022-05-22:9.123
28,2022-05-23:9.123
29,2022-05-24:9.123
